Dice Held,Dice On Table,Rolls Left,Action,Action Value,Q-Value
(),"(1, 3, 4, 5, 5)",2,Action.HOLD,"(5, 5)",0
(),"(1, 3, 4, 5, 5)",2,Action.SCORE,Category.YAHTZEE,0
(),"(1, 3, 4, 5, 5)",2,Action.ROLL,,-99.94780050068702
(),"(1, 3, 4, 5, 5)",2,Action.SCORE,Category.CHANCE,75.53307940307822
(),"(1, 3, 4, 5, 5)",2,Action.RELEASE,,12.048101682659915
(),"(2, 4, 4, 5, 6)",1,Action.ROLL,,4.906467297828742
(),"(2, 4, 4, 5, 6)",1,Action.SCORE,Category.CHANCE,209.7681876334065
(),"(2, 2, 3, 4, 5)",0,Action.SCORE,Category.SIXES,0.0
(),"(2, 2, 3, 4, 5)",0,Action.ROLL,,0.0
(),"(1, 1, 3, 5, 6)",2,Action.HOLD,"(5,)",0
(),"(1, 1, 3, 5, 6)",2,Action.ROLL,,-99.94051481623248
(),"(1, 1, 3, 5, 6)",2,Action.SCORE,Category.FULL_HOUSE,0
(),"(1, 1, 3, 5, 6)",2,Action.SCORE,Category.CHANCE,54.27580673955161
(),"(1, 1, 3, 5, 6)",2,Action.RELEASE,,13.041769984100508
"(5,)","(1, 1, 3, 6)",2,Action.SCORE,Category.CHANCE,-8.57653937286449
"(5,)","(1, 1, 3, 6)",2,Action.HOLD,"(1,)",0
"(5,)","(1, 1, 3, 6)",2,Action.ROLL,,0
"(5,)","(1, 1, 3, 6)",2,Action.RELEASE,"(5,)",-25.531406911566684
"(5,)","(1, 1, 3, 6)",2,Action.HOLD,"(5,)",191.95157837342722
"(5,)","(1, 3, 3, 4)",1,Action.SCORE,Category.LARGE_STRAIGHT,0
"(5,)","(1, 3, 3, 4)",1,Action.ROLL,,2.9701000000000004
"(5,)","(1, 3, 3, 4)",1,Action.SCORE,Category.CHANCE,3.184
"(5,)","(1, 1, 2, 5)",0,Action.SCORE,Category.CHANCE,121.33373106500498
"(5,)","(1, 1, 2, 5)",0,Action.ROLL,,0.0
(),"(1, 2, 3, 4, 4)",2,Action.ROLL,,-99.9279987377258
(),"(1, 2, 3, 4, 4)",2,Action.HOLD,"(1, 2, 3)",0
(),"(1, 2, 3, 4, 4)",2,Action.SCORE,Category.YAHTZEE,0
(),"(1, 2, 3, 4, 4)",2,Action.SCORE,Category.SMALL_STRAIGHT,199.37385157260556
(),"(1, 2, 3, 4, 4)",2,Action.RELEASE,,11.763622848442896
(),"(2, 2, 2, 4, 6)",1,Action.SCORE,Category.THREES,0.0
(),"(2, 2, 2, 4, 6)",1,Action.ROLL,,1.8285996138334861
(),"(2, 2, 2, 4, 6)",1,Action.SCORE,Category.THREE_OF_A_KIND,139.61386597139864
(),"(2, 4, 4, 5, 6)",0,Action.SCORE,Category.FOUR_OF_A_KIND,0.0
(),"(2, 4, 4, 5, 6)",0,Action.ROLL,,0.0
(),"(1, 2, 4, 4, 5)",2,Action.HOLD,"(1, 4)",0
(),"(1, 2, 4, 4, 5)",2,Action.ROLL,,-99.91876975276574
(),"(1, 2, 4, 4, 5)",2,Action.SCORE,Category.CHANCE,57.86363516935786
(),"(1, 2, 4, 4, 5)",2,Action.RELEASE,,16.72089267129545
